KN70351,GELATINA DANY LIMON 125GR
FR18157,SAL BAJA PACIFIC BOLSA 1KGR
XR23195,TORTILLAS DE MAIZ 1KG
BB86545,CORAZONES DE OREJONA PZA
II38304,YOGHURT P BEBER LACTIGURT COCO 250G
XK46108,POLVO PARA HORNEAR REXAL 15KILOS
QJ16043,SALSA DE CHILE HABANERO ROJO 260GR
WK66721,PALOMITAS POFETS FLAMIN HOT 28GR
ZK76402,YOGHURT LALA LIGHT 240GR
EF39131,YOGHURT FRESA CON GRANOLA CHELSY 240GR
DI21583,VAINILLA MOLINA 500ML
XS52703,PAPAYA
IN46549,AGUACATE REGIONAL KG.1.000 GR
JE14616,FLAN LALA SABOR VAINILLA 100GR
OM61460,CAMPANA EXTRACTORA MODELO GLASS
PH66435,LAVADORA AUTOMATICA
FV20413,COCINA A GAS INGENIOUS
GD78931,REFRIGERADORA DOOR IN DOOR
DR85293,HORNO MICROONDAS 0.7 P3
MG68474,REFRIGERADORA TOP MOUNT
WQ22397,TELEVISOR SERIE LED R555A
XH41584,COCINA A GAS TOSCANA
AI16913,PARLANTES PORTATILES SOUNDSHOOTER
GL43356,IMPRESORA MUTIFUNCIONAL LED COLOR
AM73510,DISPENSADOR DE AGUA
LC29466,COCINA ELECTRONICA CONVENCION
KE20052,AUTORADIO MEX BT3150U
QZ44072,DESHUMEDECEDOR DM-190H
RL18575,COCINA A GAS BLOGNA
UB31389,REFRIGERADORA  COOLSTYLE 281A STEEL
UG98824,TABLETS 10.1
MZ18683,TIAMAZOL 5MG 20T
JB74543,CEFUROXIMA 250MG SUSP
VG55888,GUAYACOL AMPOLLETA 1ML
RN41003,SUCRALFATO 40 TAB/1G
WI33947,DILTIAZEM 30 TAB/30 MG
YY60829,DIGOXINA 0.250 MG C/24
LN92819,PRAVASTATINA 10 MG C/15
ER83464,HIDROCORTISONA CRA 30GR
SN38853,BEZOCAINA 10GR GEL
XX22303,CEFADROXILO 250MG SUSP
SX13450,FEXOFENADINA C/10 180MG
LT95819,CALCIO+VITAMINA D SUSP
LV44031,AMOXICILINA+BROMEXINA C12
OX94310,NIFEDIPINO 30 MG 30 CPS
NX70604,VERAPAMILO 80 MG/20 TAB
BV29182,ALFILER METALICO
NI72450,BOLIGRAFO D/TINTA SECA. COLOR VERDE. PUNTA FINA
LN17963,BORRADOR D/CAUCHO P/TINTA. T: GRANDE
XK97340,BORRADOR D/CAUCHO P/TINTA Y LAPIZ. T: CHICO
XW71509,CINTA ADHESIVA TRANSPARENTE. T: 1/2 X 72 YD.
NJ31855,CINTA ADHESIVA TRANSPARENTE. T: 3/4 X 36 YD.
CF57409,FASTENER METALICO
NL58204,FOLDER COLGANTE C/VARILLA METALICA. T: OFICIO
TU23981,FOLDER COLGANTE C/VARILLA PLASTICA. T: OFICIO
DA42169,LAPIZ D/MADERA BICOLOR
CO55401,LAPIZ D/MADERA C/MINA DE GRAFITO 2B
