                          INSTITUCION EDUCATIVA_TP
         RELACION DE INGRESOS POR CICLOS Y ESCALAS
====================================================================================================
CICLO          ESCALA         CANT.ALUMNOS   VALOR.CREDITO  CANT.CREDITOS  TOTAL DE INGRESOS
01)2021-2         C                12           288.65       178.25   51451.9
02)2023-2         C                12           454.2       134.75   61203.4
03)2022-1         C                12           323.29       141.25   45664.7
04)2023-1         C                12           405.54       115.25   46738.5
05)2022-2         C                12           362.09          126   45623.3
06)2021-1         C                12           257.73        138.5   35695.6
07)2022-1         E                13           438.5          159   69721.5
08)2022-2         E                13           504.27        190.5   96063.4
09)2023-1         E                13           579.91        154.5   89596.1
10)2021-2         E                13           381.3          182   69396.6
11)2023-2         E                13           666.9        110.5   73692.4
12)2021-1         E                13           331.57        171.5   56864.3
13)2023-1         B                14           326.13       161.25   52588.5
14)2021-1         B                14           214.83          206     44255
15)2022-2         B                14           293.81       164.25   48258.3
16)2021-2         B                14           238.46        151.5   36126.7
17)2023-2         B                14           362       148.25   53666.5
18)2022-1         B                14           264.69          160   42350.4
19)2023-2         D                16           556.7       153.75   85592.6
20)2022-1         D                16           385.82        191.5   73884.5
21)2022-2         D                16           435.98          207   90247.9
22)2023-1         D                16           492.65        183.5   90401.3
23)2021-1         D                16           302.15       167.25   50534.6
24)2021-2         D                16           341.43       180.25   61542.8
25)2022-2         A                20           233.31        235.5   54944.5
26)2023-2         A                20           282.3       288.25     81373
27)2021-1         A                20           175.29        177.5     31114
28)2023-1         A                20           256.64          219   56204.2
29)2021-2         A                20           192.81        255.5     49263
30)2022-1         A                20           212.1        257.5   54615.8
